step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m,fine_epe_px,fine_epe_in_px
154,train,6.0296,0.0014,11.26,5.9097,10.10,7710,120.4,9.155,9.123,nan,nan
155,train,6.2486,0.0026,11.68,6.3379,11.31,10006,121.1,9.384,9.307,nan,nan
156,train,6.2123,0.0006,13.95,6.1072,12.31,7753,121.9,10.981,10.966,nan,nan
157,train,5.7583,0.0061,9.35,5.5577,7.24,8239,122.6,3.342,3.147,nan,nan
158,train,6.1507,0.0004,14.21,5.9567,12.19,8508,123.4,11.600,11.598,nan,nan
159,train,6.4793,0.0098,15.15,5.9654,12.60,9200,124.1,13.452,13.433,nan,nan
160,train,5.9242,0.0043,12.30,5.7934,12.66,11207,124.8,9.753,9.733,nan,nan
161,train,5.9538,0.0004,15.36,5.8540,17.49,8456,125.6,12.087,12.080,nan,nan
162,train,6.1382,0.0007,14.36,6.0543,14.77,9223,126.3,10.201,10.160,nan,nan
163,train,6.3790,0.0011,13.62,6.3607,14.37,11407,127.1,14.211,14.188,nan,nan
164,train,6.1919,0.0004,14.20,5.8464,13.90,8248,127.8,10.908,10.900,nan,nan
165,train,7.4440,0.0001,21.99,7.2567,21.25,8071,128.6,21.382,21.377,nan,nan
166,train,6.3283,0.0004,14.66,6.2873,11.74,10713,129.3,12.855,12.833,nan,nan
167,train,6.4585,0.0007,16.95,6.2532,18.31,7139,130.1,14.825,14.801,nan,nan
168,train,6.1928,0.0001,14.44,6.1868,12.83,7035,130.8,13.002,12.890,nan,nan
169,train,5.6342,0.0046,13.03,5.3277,16.28,11785,131.6,10.452,10.398,nan,nan
170,train,6.3297,0.0019,13.23,6.0918,13.29,8724,132.3,13.666,13.643,nan,nan
171,train,6.3437,0.0015,13.38,6.1346,12.28,8004,133.1,10.472,10.356,nan,nan
172,train,7.5184,0.0000,18.06,7.4430,18.25,9583,133.8,20.517,20.453,nan,nan
173,train,6.2403,0.0072,14.88,5.8335,13.01,9183,134.6,11.573,11.536,nan,nan
174,train,6.6152,0.0006,13.86,6.4943,13.21,7932,135.3,14.282,14.281,nan,nan
175,train,5.8267,0.0058,10.76,5.6084,10.21,8113,136.1,10.353,10.325,nan,nan
176,train,6.4436,0.0001,17.57,6.0992,14.13,7844,136.8,15.151,15.110,nan,nan
177,train,5.9064,0.0015,12.27,5.7157,12.06,9725,137.6,10.396,10.373,nan,nan
178,train,5.9622,0.0029,12.25,5.8804,12.05,9667,138.3,12.841,12.736,nan,nan
179,train,5.1277,0.0509,7.14,4.7327,4.24,8225,139.1,4.936,4.914,nan,nan
180,train,6.3732,0.0005,12.06,6.3417,12.83,8145,139.8,12.929,12.911,nan,nan
181,train,5.7693,0.0017,10.54,5.7573,10.57,9658,140.5,8.189,8.072,nan,nan
182,train,6.1626,0.0000,13.72,5.8698,14.04,7343,141.3,13.498,13.491,nan,nan
183,train,6.0617,0.0158,10.36,5.9647,10.44,7858,142.0,10.849,10.823,nan,nan
184,train,7.1998,0.0002,17.55,7.0125,13.98,8179,142.8,18.208,18.194,nan,nan
185,train,6.7995,0.0000,16.79,6.8822,16.32,10660,143.5,14.403,14.383,nan,nan
186,train,6.3189,0.0002,14.57,6.0845,13.07,8082,144.3,12.599,12.599,nan,nan
187,train,5.7308,0.0009,10.87,5.6781,11.41,10446,145.0,6.647,6.624,nan,nan
188,train,6.9538,0.0000,21.48,6.6110,20.97,9976,145.8,18.494,18.487,nan,nan
189,train,7.7120,0.0002,19.90,7.3251,14.90,9410,146.5,19.331,19.330,nan,nan
190,train,5.6084,0.0096,12.20,5.4528,11.76,8453,147.3,10.174,10.168,nan,nan
191,train,6.3763,0.0002,16.31,6.1280,17.14,9030,148.0,15.550,15.513,nan,nan
192,train,5.4347,0.0066,8.98,5.2524,10.89,11017,148.8,6.140,5.887,nan,nan
193,train,6.8676,0.0010,21.07,6.6591,24.61,9461,149.5,18.841,18.831,nan,nan
194,train,5.7537,0.0125,11.70,5.6036,10.16,9155,150.3,8.874,8.863,nan,nan
195,train,6.2470,0.0006,11.92,6.1973,13.94,8840,151.0,10.238,10.095,nan,nan
196,train,6.6726,0.0272,17.22,6.1608,13.04,10334,151.8,13.988,13.904,nan,nan
197,train,5.6313,0.0098,11.51,5.4493,9.49,8630,152.5,6.771,6.766,nan,nan
198,train,5.6093,0.0080,9.69,5.3823,9.31,7598,153.2,8.226,8.194,nan,nan
199,train,5.3789,0.0080,8.58,5.4150,8.83,9511,154.0,7.073,7.071,nan,nan
200,train,6.1422,0.0062,15.25,5.9379,13.64,7941,154.7,12.969,12.928,nan,nan
201,train,6.3388,0.0024,15.25,6.2200,12.46,9633,155.5,15.865,15.833,nan,nan
202,train,6.0167,0.0086,12.06,5.8210,11.62,10270,156.2,8.837,8.832,nan,nan
203,train,6.3532,0.0631,16.92,6.2187,12.66,9335,157.0,16.621,16.588,nan,nan
204,train,5.4917,0.0024,7.94,5.3338,6.36,8583,157.7,6.933,6.874,nan,nan
205,train,6.6308,0.0041,15.69,6.2497,9.06,8496,158.5,14.014,14.013,nan,nan
206,train,6.0376,0.0040,11.98,5.8169,10.05,7956,159.2,11.013,11.000,nan,nan
207,train,5.1409,0.0393,7.26,4.9898,3.00,8375,160.0,5.032,4.985,nan,nan
208,train,5.4166,0.0103,6.67,5.3399,6.12,10346,160.7,4.792,4.717,nan,nan
209,train,6.3407,0.0003,13.68,6.1784,13.06,7333,161.5,12.433,12.406,nan,nan
210,train,6.3968,0.0000,21.71,6.2135,22.26,9090,162.2,18.289,18.288,nan,nan
211,train,5.8953,0.0097,11.78,5.6660,11.42,7748,163.0,10.730,10.709,nan,nan
212,train,5.7458,0.0013,11.69,5.6099,10.10,10045,163.7,9.819,9.783,nan,nan
213,train,6.3654,0.0013,17.00,6.1628,12.55,9187,164.5,14.023,14.021,nan,nan
214,train,6.7711,0.0003,17.36,6.5245,15.54,7852,165.2,15.737,15.729,nan,nan
215,train,5.7683,0.0018,11.26,5.4519,11.00,7386,165.9,8.924,8.906,nan,nan
216,train,5.7060,0.0025,9.96,5.3872,9.22,8694,166.7,6.412,6.348,nan,nan
217,train,5.8934,0.0081,13.90,5.5315,10.06,8941,167.4,13.079,13.076,nan,nan
218,train,7.3929,0.0001,26.11,7.1361,22.17,11901,168.2,23.637,23.625,nan,nan
219,train,5.7094,0.0005,11.29,5.4715,12.07,9332,168.9,7.425,7.423,nan,nan
220,train,6.1075,0.0001,15.00,5.9701,14.00,11215,169.7,12.561,12.545,nan,nan
221,train,6.2251,0.0068,16.21,5.9654,14.45,9375,170.4,13.768,13.764,nan,nan
222,train,5.8712,0.0010,13.90,5.6576,17.03,7289,171.2,11.911,11.899,nan,nan
