step,split,ce,cert,top1,top5,cell_err_m,n,sec
382,train,4.9486,0.3601,0.0062,0.0247,29.48,162,0.6
383,train,5.0068,0.3993,0.0000,0.0000,32.85,158,0.8
384,train,4.9140,0.4077,0.0000,0.0000,31.30,160,0.8
385,train,4.8865,0.4393,0.0130,0.0455,21.70,154,0.8
386,train,4.8773,0.4509,0.0066,0.0066,25.45,151,0.7
387,train,4.9383,0.3979,0.0063,0.0125,31.77,160,0.8
388,train,4.8796,0.4475,0.0000,0.0321,20.92,156,0.8
389,train,4.8207,0.4442,0.0248,0.0932,17.46,161,0.8
390,train,4.7851,0.3780,0.0063,0.0437,20.89,160,0.6
391,train,4.9239,0.4128,0.0196,0.0784,18.52,153,0.6
392,train,4.9243,0.3698,0.0000,0.0000,27.43,160,0.8
393,train,4.9063,0.5542,0.0000,0.0211,28.42,142,0.8
394,train,4.8977,0.3824,0.0000,0.0000,28.23,162,0.7
395,train,4.7919,0.3691,0.0062,0.0494,18.05,162,0.8
396,train,4.9028,0.3900,0.0000,0.0062,27.06,161,0.8
397,train,4.9694,0.3905,0.0000,0.0000,33.46,159,0.8
398,train,4.7251,0.4118,0.0244,0.0976,18.69,164,0.8
399,train,4.7551,0.4017,0.0127,0.0446,21.50,157,0.6
400,train,4.8510,0.4116,0.0063,0.0437,25.61,160,0.7
400,val,4.8589,,0.0080,0.0391,21.87,6984,36.2
401,train,4.7066,0.4172,0.0258,0.1032,16.12,155,0.6
402,train,4.8637,0.3855,0.0123,0.0617,16.42,162,0.8
403,train,4.9623,0.4207,0.0000,0.0123,30.08,163,0.8
404,train,4.8816,0.3885,0.0185,0.0494,19.75,162,0.8
405,train,4.9159,0.4662,0.0000,0.0000,28.12,148,0.6
