step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m
253,train,3.5885,0.0610,10.94,3.8271,10.95,1409,201.5,nan,nan
254,train,3.1369,0.1909,7.39,2.9457,6.99,1472,202.3,nan,nan
255,train,2.8709,0.1269,5.61,2.1808,2.71,1434,203.1,nan,nan
256,train,3.8261,0.1189,10.48,4.1204,9.25,1404,203.9,nan,nan
257,train,3.0166,0.1136,7.56,3.2884,7.21,1470,204.6,nan,nan
258,train,3.3888,0.0837,8.37,3.2202,7.98,1457,205.4,nan,nan
259,train,3.5089,0.0594,8.62,3.4467,9.12,1432,206.2,nan,nan
260,train,3.2894,0.1309,8.56,2.8782,7.99,1352,207.0,nan,nan
261,train,2.8216,0.2478,5.61,3.0706,5.62,1388,207.7,nan,nan
262,train,3.9859,0.0407,10.74,3.8311,11.12,1377,208.5,nan,nan
263,train,3.8305,0.0313,8.95,3.4386,7.04,1343,209.3,nan,nan
264,train,3.2237,0.1281,8.10,2.5982,3.21,1351,210.1,nan,nan
265,train,3.0907,0.1144,6.24,2.5948,6.27,1390,210.8,nan,nan
266,train,3.2095,0.1525,10.79,3.4412,12.32,1351,211.6,nan,nan
267,train,3.6757,0.1031,8.85,3.2353,9.02,1445,212.4,nan,nan
268,train,2.8576,0.1471,6.13,2.2549,4.56,1400,213.2,nan,nan
269,train,3.2335,0.1339,5.96,3.1679,5.24,1367,213.9,nan,nan
270,train,2.9972,0.0780,5.92,3.1263,5.53,1346,214.7,nan,nan
271,train,3.2585,0.1221,7.98,3.2725,8.65,1458,215.5,nan,nan
272,train,4.3096,0.0166,12.75,4.4027,12.84,1262,216.3,nan,nan
273,train,3.0864,0.1386,5.76,3.0763,6.00,1472,217.1,nan,nan
274,train,3.8175,0.1038,11.17,4.0819,13.70,1377,217.8,nan,nan
275,train,2.6943,0.2820,5.50,3.1493,6.89,1486,218.6,nan,nan
276,train,3.0661,0.0932,6.29,2.5287,3.91,1406,219.4,nan,nan
277,train,4.2961,0.0726,13.87,4.4432,15.28,1404,220.2,nan,nan
278,train,3.1469,0.2006,7.79,3.1354,8.85,1286,220.9,nan,nan
279,train,3.2962,0.1572,8.16,2.3484,7.92,1368,221.7,nan,nan
280,train,3.9252,0.0956,9.93,3.6295,12.44,1444,222.5,nan,nan
281,train,3.5227,0.1222,7.46,3.4643,5.62,1457,223.3,nan,nan
282,train,3.3001,0.1607,8.05,3.0657,6.27,1350,224.0,nan,nan
283,train,3.6469,0.1126,9.72,4.1284,11.16,1430,224.8,nan,nan
284,train,3.7881,0.1245,8.77,3.9291,9.26,1381,225.6,nan,nan
285,train,4.0669,0.0594,11.84,3.9979,13.31,1296,226.4,nan,nan
286,train,3.6497,0.1607,8.98,3.6143,7.78,1282,227.1,nan,nan
287,train,3.5697,0.0898,10.27,4.0665,10.92,1292,227.9,nan,nan
288,train,3.4294,0.1527,7.77,3.7486,6.87,1434,228.7,nan,nan
289,train,3.9454,0.0435,8.93,3.0825,7.00,1402,229.5,nan,nan
290,train,3.6492,0.1538,10.55,3.6441,15.05,1365,230.2,nan,nan
291,train,3.6997,0.1095,8.67,3.1868,8.19,1324,231.0,nan,nan
292,train,4.1938,0.0682,12.16,4.0132,12.79,1349,231.8,nan,nan
293,train,3.1513,0.1425,8.71,2.8883,7.70,1418,232.6,nan,nan
294,train,3.3662,0.1610,8.44,3.2483,9.10,1404,233.4,nan,nan
295,train,3.1778,0.1905,9.50,3.1599,12.01,1323,234.1,nan,nan
296,train,3.4774,0.0962,8.70,3.0851,6.33,1330,234.9,nan,nan
297,train,3.3693,0.1519,8.74,3.1981,8.32,1343,235.7,nan,nan
298,train,3.6488,0.1209,10.40,3.8318,9.06,1365,236.5,nan,nan
299,train,3.5497,0.1068,9.21,2.9981,6.56,1302,237.2,nan,nan
300,train,3.9776,0.0418,10.43,3.7450,11.00,1291,238.0,nan,nan
301,train,3.3423,0.1151,8.39,3.2278,8.15,1416,238.8,nan,nan
302,train,3.7198,0.0407,10.29,3.4875,11.02,1302,239.6,nan,nan
303,train,4.1042,0.0422,11.40,4.2495,10.76,1376,240.3,nan,nan
304,train,2.5648,0.2163,6.26,2.2076,4.00,1378,241.1,nan,nan
305,train,2.7643,0.1623,6.13,2.3755,7.31,1251,241.9,nan,nan
306,train,4.6008,0.0866,14.68,4.6725,18.86,1351,242.7,nan,nan
307,train,3.5973,0.1076,10.19,3.2729,10.97,1348,243.4,nan,nan
