step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
336,train,2.3848,0.2156,4.35,1.8173,2.41,742,180.2
337,train,2.8852,0.3761,8.17,2.0781,6.00,702,180.7
338,train,3.0710,0.0604,7.58,2.5632,11.02,728,181.2
339,train,3.0772,0.2821,6.94,3.5910,7.00,702,181.7
340,train,2.9927,0.1195,8.65,2.7701,10.50,770,182.3
341,train,1.7703,0.3061,3.10,1.5970,3.41,784,182.8
342,train,3.7846,0.0296,7.97,3.0214,7.41,742,183.3
343,train,3.9644,0.0482,12.40,3.5342,13.47,664,183.8
344,train,2.7368,0.1299,5.73,2.4280,4.00,716,184.4
345,train,3.8183,0.0302,13.43,3.7278,10.47,728,184.9
346,train,2.9517,0.2441,6.45,3.2038,6.65,676,185.4
347,train,2.8849,0.2573,5.45,2.4205,4.24,688,185.9
348,train,2.2824,0.2649,4.59,2.1470,4.00,770,186.4
349,train,2.9231,0.2297,6.89,2.5778,4.24,714,187.0
350,train,2.1695,0.3307,3.70,2.1953,4.65,756,187.5
351,train,2.8519,0.1223,7.04,3.0081,10.52,728,188.0
352,train,2.8664,0.2761,6.34,2.5704,6.51,728,188.5
353,train,3.6192,0.1271,10.22,3.6751,11.23,716,189.1
354,train,3.5971,0.0660,9.52,3.1808,6.65,742,189.6
355,train,3.4893,0.0296,6.98,3.9049,7.48,742,190.1
356,train,3.2751,0.0234,7.79,3.7741,8.00,770,190.6
357,train,2.3369,0.3026,3.66,1.4501,2.83,770,191.2
358,train,3.1711,0.1477,6.55,3.3317,7.24,677,191.7
359,train,2.2898,0.2418,3.50,2.1689,5.00,728,192.2
360,train,4.3711,0.1745,10.16,4.2095,14.00,728,192.7
361,train,2.5039,0.2157,5.28,1.8484,2.00,728,193.2
362,train,2.7560,0.1649,4.62,2.2178,3.00,770,193.8
363,train,3.2683,0.1122,7.35,3.4169,6.06,704,194.3
364,train,3.7188,0.1685,9.23,4.1277,9.25,742,194.8
365,train,3.2630,0.0849,9.54,3.1945,12.40,742,195.3
366,train,3.3143,0.2416,9.59,3.0169,10.60,716,195.8
367,train,5.1275,0.0123,10.77,3.5505,10.16,650,196.4
368,train,3.7489,0.1045,8.12,3.7482,10.65,718,196.9
369,train,3.5860,0.1034,11.32,3.7758,13.91,716,197.4
370,train,5.5846,0.0644,18.92,5.5121,21.69,714,198.0
371,train,2.2239,0.3221,3.54,1.9457,2.41,742,198.5
372,train,2.7072,0.3055,7.64,2.5452,8.51,743,199.0
373,train,3.1110,0.0972,6.23,2.9177,3.41,648,199.5
374,train,3.8154,0.0153,11.33,3.7276,14.53,784,200.1
375,train,4.1863,0.0890,18.84,3.7989,16.72,674,200.6
376,train,3.0225,0.0916,5.53,2.5914,4.65,742,201.1
377,train,3.6271,0.1658,6.88,3.1223,4.16,742,201.7
378,train,2.4470,0.3197,4.64,2.6878,5.58,732,202.2
379,train,3.1755,0.2797,8.89,3.2009,7.34,690,202.7
380,train,3.7382,0.0229,9.51,3.7079,9.65,742,203.2
381,train,4.2348,0.1323,12.82,3.2768,14.07,688,203.8
382,train,3.4724,0.1486,9.65,3.1374,11.10,700,204.3
383,train,2.6090,0.2967,8.28,3.0977,9.50,701,204.8
384,train,3.1055,0.1596,6.14,3.0527,3.24,664,205.3
385,train,3.9359,0.1857,8.86,3.7628,7.41,700,205.8
