step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
241,train,2.9022,0.2446,8.01,3.0975,7.72,1378,189.2
242,train,2.7235,0.1621,5.86,2.5003,5.12,1431,190.0
243,train,3.0790,0.1687,9.65,3.2107,9.97,1363,190.7
244,train,3.3930,0.0784,7.98,3.2287,4.86,1326,191.5
245,train,3.1019,0.1512,8.09,2.8521,8.04,1316,192.3
246,train,3.2889,0.1925,8.87,3.2021,6.52,1304,193.0
247,train,3.8595,0.0632,11.11,4.3095,10.96,1360,193.8
248,train,3.5616,0.1407,7.74,2.9358,6.46,1457,194.6
249,train,3.3739,0.0867,8.16,3.4608,8.59,1430,195.3
250,train,3.2843,0.0982,8.77,2.8334,7.30,1364,196.1
251,train,3.6886,0.0436,11.21,3.6293,12.68,1444,196.9
252,train,3.8856,0.0768,11.31,3.7599,10.74,1420,197.7
253,train,3.9834,0.0511,12.57,3.9615,12.35,1390,198.4
254,train,3.8801,0.0734,10.13,3.7115,9.73,1416,199.2
255,train,3.4402,0.0774,9.01,3.0872,10.37,1318,200.0
256,train,3.9012,0.0776,11.74,3.7111,12.23,1378,200.7
257,train,3.1156,0.0761,6.80,2.9345,7.69,1354,201.5
258,train,3.9963,0.0395,9.25,4.2146,9.40,1391,202.3
259,train,3.3336,0.1289,9.57,3.4312,8.53,1350,203.0
260,train,3.1661,0.1864,8.01,2.9578,6.27,1416,203.8
261,train,4.3453,0.0538,14.00,3.8976,15.96,1376,204.6
262,train,3.7722,0.0718,9.79,3.8040,12.48,1378,205.3
263,train,3.3354,0.1458,6.80,2.7904,7.19,1365,206.1
264,train,4.3985,0.0482,14.80,3.7621,15.78,1432,206.9
265,train,3.5891,0.1066,8.48,3.8479,8.95,1388,207.6
266,train,2.9504,0.1043,6.69,3.0215,5.53,1342,208.4
267,train,3.5145,0.1138,9.23,3.8621,9.33,1380,209.2
268,train,3.0313,0.2387,7.55,3.1155,5.01,1366,210.0
269,train,3.3557,0.1447,9.24,3.3680,11.50,1472,210.7
270,train,3.2329,0.1803,9.54,3.2726,9.48,1270,211.5
271,train,3.3807,0.0876,7.82,2.9278,6.55,1382,212.3
272,train,3.5532,0.1163,10.49,3.3537,11.83,1324,213.0
273,train,3.4062,0.1523,8.20,3.5920,9.47,1366,213.8
274,train,3.1668,0.1394,7.66,3.3618,7.91,1428,214.6
275,train,3.9344,0.1023,10.54,4.0196,11.01,1456,215.3
276,train,3.3912,0.1537,8.57,3.4466,9.02,1470,216.1
277,train,3.2558,0.1037,8.55,3.0104,7.96,1417,216.9
278,train,3.7380,0.1218,10.42,3.3724,10.30,1388,217.6
279,train,3.5935,0.1287,11.73,3.4671,14.15,1336,218.4
280,train,3.2053,0.1689,6.80,3.0015,7.13,1326,219.2
281,train,3.0457,0.1322,7.66,2.4089,4.68,1377,219.9
282,train,2.9343,0.1595,4.90,2.6931,4.41,1348,220.7
283,train,3.2270,0.0802,9.92,3.0229,12.52,1459,221.5
284,train,3.0696,0.1167,10.92,2.9631,14.63,1311,222.2
285,train,4.0446,0.0281,11.93,3.7210,10.25,1353,223.0
286,train,3.3504,0.1920,8.06,3.4596,8.96,1323,223.8
287,train,3.3607,0.1304,8.60,3.8915,9.88,1472,224.6
288,train,3.4392,0.0812,6.73,2.9891,6.94,1416,225.3
289,train,3.5199,0.1444,11.84,3.3036,10.86,1350,226.1
290,train,3.0603,0.1596,8.52,3.1841,10.76,1272,226.9
291,train,3.4121,0.1323,9.26,3.2521,8.55,1368,227.6
292,train,2.9463,0.2381,6.06,3.0813,7.80,1361,228.4
293,train,3.6407,0.1186,8.95,3.1468,8.46,1484,229.2
294,train,2.5814,0.2265,5.49,2.4204,5.32,1351,229.9
295,train,3.6959,0.1324,10.44,3.2027,10.30,1276,230.7
296,train,3.1367,0.1589,8.14,3.4336,9.10,1429,231.5
297,train,4.3704,0.0353,14.01,4.2282,11.42,1387,232.2
298,train,3.7258,0.0516,10.26,3.9772,9.45,1433,233.0
299,train,3.5395,0.1060,9.00,3.0606,8.16,1415,233.8
300,train,2.8455,0.3065,6.66,3.1180,9.04,1328,234.5
301,train,3.2709,0.1175,7.07,3.1205,6.77,1472,235.3
302,train,3.1660,0.0880,8.50,2.9390,9.34,1364,236.1
303,train,2.3263,0.2989,3.73,2.1262,4.12,1415,236.9
304,train,3.0890,0.1509,8.63,3.1248,6.94,1418,237.6
305,train,2.6603,0.2756,6.97,2.7080,6.65,1350,238.4
306,train,3.3304,0.0938,9.96,3.3449,9.31,1375,239.2
307,train,3.4047,0.0923,6.78,2.8242,3.41,1354,239.9
308,train,3.3888,0.1065,10.81,3.4928,10.26,1315,240.7
309,train,3.4881,0.1522,11.45,3.4224,11.33,1373,241.5
310,train,3.6720,0.0898,12.32,3.8718,14.06,1392,242.2
311,train,3.1384,0.1763,8.50,3.1488,8.62,1350,243.0
312,train,3.6765,0.0543,11.92,3.6184,11.90,1327,243.8
313,train,3.0254,0.1676,6.77,2.8789,7.33,1474,244.5
314,train,3.3811,0.1462,10.77,3.2401,13.48,1368,245.3
315,train,4.3127,0.0287,15.08,4.1949,16.07,1393,246.1
316,train,3.1518,0.1436,6.43,3.1590,8.33,1428,246.8
317,train,2.8082,0.1184,5.88,2.8136,5.91,1402,247.6
318,train,3.5554,0.1186,9.43,3.6048,10.11,1484,248.4
319,train,3.4812,0.1555,10.97,3.2819,13.50,1402,249.1
