step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m
210,train,4.8829,0.0542,13.67,4.6940,13.13,1568,164.5,nan,nan
211,train,3.9429,0.0568,6.07,3.8156,6.23,1568,165.2,nan,nan
212,train,5.2379,0.0057,11.04,5.0640,9.25,1568,166.0,nan,nan
213,train,4.4761,0.0721,8.35,3.7037,5.22,1568,166.8,nan,nan
214,train,4.2114,0.1008,6.57,4.0528,6.89,1568,167.5,nan,nan
215,train,3.7851,0.1671,8.15,3.4783,6.84,1568,168.3,nan,nan
216,train,4.4844,0.0816,9.06,3.7793,9.69,1568,169.1,nan,nan
217,train,3.8345,0.0574,5.99,3.5562,4.22,1568,169.8,nan,nan
218,train,5.3895,0.0089,10.72,5.1641,9.71,1568,170.6,nan,nan
219,train,4.3520,0.0702,7.44,3.9444,8.63,1568,171.4,nan,nan
220,train,4.6359,0.0619,7.00,4.5478,6.45,1568,172.1,nan,nan
221,train,4.2008,0.1091,7.26,3.6825,5.49,1568,172.9,nan,nan
222,train,3.8454,0.1932,9.71,3.5458,11.46,1568,173.7,nan,nan
223,train,4.9580,0.0325,8.20,4.6541,8.01,1568,174.4,nan,nan
224,train,4.6725,0.0344,7.03,4.8947,5.49,1568,175.2,nan,nan
225,train,3.4497,0.0912,5.49,3.2873,3.77,1568,176.0,nan,nan
226,train,4.3681,0.0599,6.09,3.9877,5.06,1568,176.7,nan,nan
227,train,4.6546,0.0338,7.83,4.6224,7.50,1568,177.5,nan,nan
228,train,3.7720,0.0861,4.78,3.6673,4.02,1568,178.3,nan,nan
229,train,3.9320,0.0408,4.32,3.1769,3.73,1568,179.0,nan,nan
230,train,4.0384,0.0446,4.92,3.9366,4.76,1568,179.8,nan,nan
231,train,3.9087,0.0561,5.63,3.4490,5.28,1568,180.6,nan,nan
232,train,4.4492,0.0147,7.63,4.4995,7.09,1568,181.3,nan,nan
233,train,3.7883,0.2041,5.45,3.6764,5.88,1568,182.1,nan,nan
234,train,4.9743,0.0115,9.65,4.7031,9.07,1568,182.9,nan,nan
235,train,4.5882,0.0128,6.86,4.5217,7.96,1568,183.7,nan,nan
236,train,5.2076,0.0255,8.23,4.8522,8.26,1568,184.4,nan,nan
237,train,4.5114,0.0593,10.66,4.4819,7.54,1568,185.2,nan,nan
238,train,4.8313,0.0198,10.53,4.8250,10.25,1568,186.0,nan,nan
239,train,3.9780,0.0504,6.14,3.6622,6.24,1568,186.7,nan,nan
240,train,4.5477,0.0842,8.50,4.0138,9.40,1568,187.5,nan,nan
241,train,5.0076,0.0332,9.49,4.7260,9.25,1568,188.3,nan,nan
242,train,5.2074,0.0816,6.50,4.7195,6.08,1568,189.0,nan,nan
243,train,3.4884,0.1020,4.93,3.6324,6.99,1568,189.8,nan,nan
244,train,4.7802,0.0708,9.54,4.6088,10.26,1568,190.6,nan,nan
245,train,4.4480,0.0357,8.27,4.1532,7.45,1568,191.3,nan,nan
246,train,4.3869,0.0344,8.13,3.8883,7.68,1568,192.1,nan,nan
247,train,3.6117,0.1020,5.99,2.9893,4.64,1568,192.9,nan,nan
248,train,3.7806,0.0784,4.70,3.6867,5.13,1568,193.6,nan,nan
249,train,3.6809,0.0906,6.17,3.2964,5.15,1568,194.4,nan,nan
250,train,3.4795,0.1671,6.50,3.1597,6.49,1568,195.2,nan,nan
