step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
262,train,3.6867,0.1097,10.79,3.6944,10.51,1376,213.9
263,train,3.3904,0.0704,8.80,3.3505,11.06,1420,214.7
264,train,3.2202,0.1147,7.91,2.9244,7.55,1404,215.5
265,train,3.8781,0.0681,12.58,3.7210,13.21,1337,216.3
266,train,2.6857,0.2214,5.54,2.6255,5.62,1301,217.1
267,train,3.8845,0.0658,11.23,4.4032,13.90,1353,217.9
268,train,3.0663,0.1385,8.72,2.8895,8.53,1444,218.7
269,train,3.3123,0.1065,7.67,3.1015,8.89,1409,219.5
270,train,2.8951,0.1258,5.86,2.7392,6.11,1407,220.3
271,train,2.6260,0.3056,7.01,2.4785,8.49,1368,221.1
272,train,2.8273,0.2165,6.41,3.0428,8.77,1432,221.9
273,train,3.0552,0.1779,8.22,3.3738,9.33,1405,222.7
274,train,3.0978,0.1710,6.56,3.3213,5.78,1310,223.5
275,train,3.1522,0.2424,6.18,3.0785,5.15,1415,224.3
276,train,3.7202,0.1154,9.51,3.0878,7.37,1378,225.1
277,train,3.6451,0.1157,7.24,3.2606,5.85,1314,225.9
278,train,3.2748,0.1733,8.37,2.9536,6.97,1408,226.7
279,train,3.7252,0.0904,9.22,3.1512,6.54,1372,227.5
280,train,2.7199,0.2047,4.95,2.3584,3.33,1363,228.3
281,train,3.1272,0.1116,8.04,3.3617,9.17,1470,229.1
282,train,3.3310,0.1054,7.67,3.3035,7.99,1404,229.9
283,train,3.5807,0.1481,9.03,3.5765,9.92,1377,230.7
284,train,3.4366,0.1413,8.99,3.8746,7.91,1444,231.5
285,train,2.3246,0.1992,3.96,1.9614,2.41,1446,232.3
286,train,2.2818,0.2892,5.56,2.1484,5.26,1404,233.1
287,train,3.5411,0.1662,8.52,3.6890,8.62,1444,233.9
288,train,3.5925,0.0171,8.43,3.5702,9.26,1343,234.7
289,train,3.5972,0.1583,8.08,3.6273,8.09,1320,235.5
290,train,3.1647,0.2481,5.94,2.8976,5.15,1326,236.3
291,train,1.8755,0.4087,2.65,1.7393,2.91,1419,237.1
292,train,3.2781,0.0805,7.54,3.6492,8.63,1367,237.9
293,train,3.4010,0.0980,8.34,3.7056,9.05,1326,238.7
294,train,3.3090,0.0680,9.86,3.1124,10.25,1338,239.5
295,train,3.2355,0.0963,7.32,3.1440,7.29,1298,240.3
296,train,3.3712,0.0782,8.49,3.1504,6.30,1458,241.1
297,train,4.3671,0.0569,12.36,4.2573,12.79,1336,241.9
298,train,2.8162,0.1463,6.34,2.1985,4.00,1319,242.7
299,train,3.9533,0.0619,12.81,3.7089,10.10,1309,243.5
300,train,3.3430,0.0761,9.22,3.5340,10.58,1484,244.3
301,train,3.0253,0.2460,6.94,3.2898,7.83,1443,245.1
302,train,3.6418,0.1115,9.20,3.2747,7.84,1471,245.9
303,train,2.3429,0.2119,4.08,2.1435,4.62,1458,246.7
304,train,3.8089,0.1394,10.03,3.6152,10.51,1406,247.5
305,train,2.5153,0.2935,5.76,2.5370,6.04,1298,248.3
306,train,2.9784,0.2304,5.42,2.5423,5.29,1432,249.1
307,train,3.1676,0.1652,7.66,2.8665,7.29,1459,249.9
308,train,3.1613,0.1581,7.74,2.9449,8.36,1417,250.7
309,train,3.4859,0.1849,9.20,3.2600,9.45,1417,251.5
310,train,3.0680,0.1764,7.38,3.5275,8.02,1321,252.3
311,train,3.6733,0.1052,9.75,3.9714,9.27,1388,253.1
312,train,2.5979,0.2094,6.81,2.6795,10.07,1366,253.9
313,train,3.7494,0.0713,9.21,3.3487,9.09,1319,254.7
314,train,3.5162,0.0407,8.70,3.4512,7.74,1376,255.5
315,train,4.3073,0.0083,13.43,4.3968,14.83,1327,256.3
316,train,2.6665,0.2065,4.82,2.5167,3.33,1414,257.1
317,train,3.2207,0.0691,7.87,3.2137,6.95,1361,257.9
318,train,3.0490,0.2132,7.32,3.0319,8.00,1379,258.7
319,train,2.6966,0.2682,6.17,2.8504,9.18,1432,259.5
320,train,2.9096,0.1768,5.53,2.7117,7.79,1352,260.3
321,train,2.5182,0.2134,4.32,2.3808,3.94,1392,261.1
322,train,3.5070,0.1158,9.74,3.2023,10.83,1407,261.9
323,train,3.0356,0.2537,9.93,2.7284,10.72,1340,262.7
324,train,3.8242,0.1355,12.78,3.7849,18.63,1306,263.5
325,train,3.4156,0.1535,8.33,3.4848,8.52,1401,264.3
326,train,2.6830,0.2556,5.06,2.3937,4.44,1377,265.1
