step,split,ce,cert,top1,top5,cell_err_m,pose_nll,pose_err_m,n,sec
4907,train,3.4183,3.6633,0.1186,0.4227,10.22,2.8718,0.00,194,2.8
4908,train,5.4844,3.7773,0.0000,0.0000,36.35,4.1458,21.54,193,1.8
4909,train,nan,0.1430,nan,nan,nan,0.0000,nan,0,1.6
4910,train,4.5374,4.1694,0.0155,0.0515,17.44,3.4020,7.07,194,3.6
4911,train,3.8724,3.1268,0.0000,0.0000,41.91,4.0203,54.33,194,5.9
4912,train,3.8237,3.7468,0.0052,0.0258,28.26,3.9275,30.59,194,2.5
4913,train,5.1399,5.3165,0.0000,0.0000,20.85,5.2513,15.30,193,2.1
4914,train,4.0971,4.9904,0.0103,0.0979,28.73,3.5736,6.00,194,6.9
4915,train,4.7136,3.6943,0.0052,0.0365,17.48,4.1593,9.00,192,1.7
4916,train,3.5665,3.2476,0.1082,0.3814,11.79,2.8420,0.00,194,2.4
4917,train,3.9984,3.4054,0.0103,0.0464,14.44,3.1304,8.00,194,3.3
4918,train,4.4357,4.0515,0.0207,0.1036,20.13,3.5375,18.03,193,2.9
4919,train,5.3089,3.9898,0.0052,0.0155,14.00,3.6810,12.00,194,2.2
4920,train,4.3103,3.6046,0.0104,0.0155,36.17,3.7440,36.22,193,1.5
